id,battle_type,winner,votes_winner,votes_loser,votes_nv,votes_ot,overtime,notes
KaJ9LEN-xQo,judged,CripLi,5,0,0,0,no,CripLi pulled out a phone in R3 to recall his lines
KbuvtcbnzOA,judged,Resiak,3,0,0,0,no,none
KjMS7w5ey6U,judged,Article Clipted,3,0,0,0,no,none
KkenTjMu_VM,judged,Sayadd,3,2,0,0,no,none
KkhNR9Fj_qc,judged,Batang Rebelde,3,2,0,0,no,none
KmCkQEkeVn8,judged,Shernan,7,0,0,0,no,none
KqEn_9fDBCg,judged,Keelan,5,0,0,0,no,none
KtE9zdjN6Q4,judged,CNine,4,1,0,0,no,none
Kv2Kej-eMqs,judged,Jonas,5,0,0,0,no,none
Kw2LWV0UbhQ,judged,M Zhayt,5,0,0,0,no,none
L-j0yW0rraU,judged,Lhipkram,4,3,0,0,no,none
L0MB-zKsjlc,judged,Jonas,5,0,0,0,no,none
L0yCLGci6o0,judged,Castillo,3,0,0,0,no,none
L4T6zeJI7-Y,judged,Batang Rebelde,5,0,0,0,no,none
L4qMFMFwdU4,judged,Caspher,3,0,0,0,no,none
L5KUQvOa-0Y,judged,Barbarian,3,0,0,0,no,none
L5rpBBUvVNw,judged,Lhipkram,5,0,0,0,no,none
L63Ulrd6I_U,judged,Flict-G,5,0,0,0,no,none
L67aVFER9eg,judged,Rudic,3,2,0,0,no,none
LA1xckXBCok,judged,Blizzard,4,1,0,0,no,none
LAeztRNXHjc,judged,SlockOne,5,0,0,0,no,none
LAipw_BNi24,judged,Flict-G,3,2,0,0,no,none
LJW7ya_Dxm0,judged,Hazky,4,1,0,0,no,none
LKuTlQmJfmA,judged,Cool Kidd,5,0,0,0,no,none
LLPnSbMO9Vw,judged,MastaFeat,4,1,0,0,no,none
LLUhTjyWK6Y,judged,Diddle,5,0,0,0,no,none
LOzAhN92lo4,judged,Pen Pluma,5,0,0,0,no,none
LWXRl-NG5dk,judged,Dave Denver,5,0,0,0,no,none
LYuhXYX6P7w,judged,Tweng,4,1,0,0,no,none
